	Freq	Rel.Freq
knowing	4	0.000411311053984576
keep	4	0.000411311053984576
Julian	4	0.000411311053984576
it?	4	0.000411311053984576
include	4	0.000411311053984576
ideas,	4	0.000411311053984576
How	4	0.000411311053984576
hours	4	0.000411311053984576
hire	4	0.000411311053984576
guys	4	0.000411311053984576
grow	4	0.000411311053984576
first,	4	0.000411311053984576
expensive	4	0.000411311053984576
existing	4	0.000411311053984576
During	4	0.000411311053984576
during	4	0.000411311053984576
Don't	4	0.000411311053984576
develop	4	0.000411311053984576
dating	4	0.000411311053984576
couldn't	4	0.000411311053984576
corporate	4	0.000411311053984576
competitors	4	0.000411311053984576
code	4	0.000411311053984576
cause	4	0.000411311053984576
catalog	4	0.000411311053984576
case	4	0.000411311053984576
came	4	0.000411311053984576
By	4	0.000411311053984576
Bubble	4	0.000411311053984576
Bill	4	0.000411311053984576
being	4	0.000411311053984576
around	4	0.000411311053984576
allowed	4	0.000411311053984576
all,	4	0.000411311053984576
advice	4	0.000411311053984576
actually	4	0.000411311053984576
able	4	0.000411311053984576
"get	4	0.000411311053984576
yet	3	0.000308483290488432
years	3	0.000308483290488432
x	3	0.000308483290488432
writing	3	0.000308483290488432
work,	3	0.000308483290488432
word	3	0.000308483290488432
without	3	0.000308483290488432
Well,	3	0.000308483290488432
VCs.	3	0.000308483290488432
users.	3	0.000308483290488432
use.	3	0.000308483290488432
understood	3	0.000308483290488432
tricks	3	0.000308483290488432
trade	3	0.000308483290488432
told	3	0.000308483290488432
to,	3	0.000308483290488432
time.	3	0.000308483290488432
though	3	0.000308483290488432
this.	3	0.000308483290488432
thinking	3	0.000308483290488432
They're	3	0.000308483290488432
they'll	3	0.000308483290488432
themselves.	3	0.000308483290488432
them,	3	0.000308483290488432
tends	3	0.000308483290488432
Street	3	0.000308483290488432
Steve	3	0.000308483290488432
startups.	3	0.000308483290488432
space	3	0.000308483290488432
smart.	3	0.000308483290488432
slow	3	0.000308483290488432
Since	3	0.000308483290488432
selling	3	0.000308483290488432
rule	3	0.000308483290488432
restaurant	3	0.000308483290488432
reading	3	0.000308483290488432
programming	3	0.000308483290488432
products	3	0.000308483290488432
product.	3	0.000308483290488432
product,	3	0.000308483290488432
plans	3	0.000308483290488432
phone	3	0.000308483290488432
part	3	0.000308483290488432
page	3	0.000308483290488432
Our	3	0.000308483290488432
online	3	0.000308483290488432
ones	3	0.000308483290488432
odds	3	0.000308483290488432
now.	3	0.000308483290488432
No	3	0.000308483290488432
nearly	3	0.000308483290488432
My	3	0.000308483290488432
mostly	3	0.000308483290488432
model	3	0.000308483290488432
mere	3	0.000308483290488432
means	3	0.000308483290488432
making	3	0.000308483290488432
makes	3	0.000308483290488432
mainly	3	0.000308483290488432
long	3	0.000308483290488432
Lisp	3	0.000308483290488432
likely	3	0.000308483290488432
Like	3	0.000308483290488432
let	3	0.000308483290488432
leaving	3	0.000308483290488432
learned	3	0.000308483290488432
knew	3	0.000308483290488432
key	3	0.000308483290488432
is.	3	0.000308483290488432
invest	3	0.000308483290488432
initial	3	0.000308483290488432
impressive.	3	0.000308483290488432
help	3	0.000308483290488432
have.	3	0.000308483290488432
have,	3	0.000308483290488432
happen	3	0.000308483290488432
half	3	0.000308483290488432
hacker,	3	0.000308483290488432
hacker	3	0.000308483290488432
hack	3	0.000308483290488432
group	3	0.000308483290488432
gradually	3	0.000308483290488432
Google.	3	0.000308483290488432
Google's	3	0.000308483290488432
good.	3	0.000308483290488432
genuinely	3	0.000308483290488432
founders.	3	0.000308483290488432
forced	3	0.000308483290488432
first.	3	0.000308483290488432
figure	3	0.000308483290488432
far	3	0.000308483290488432
experienced,	3	0.000308483290488432
experience	3	0.000308483290488432
example,	3	0.000308483290488432
ever	3	0.000308483290488432
early	3	0.000308483290488432
does	3	0.000308483290488432
doable.	3	0.000308483290488432
do,	3	0.000308483290488432
discovered	3	0.000308483290488432
did.	3	0.000308483290488432
developing	3	0.000308483290488432
days	3	0.000308483290488432
Customers	3	0.000308483290488432
customer	3	0.000308483290488432
create	3	0.000308483290488432
competitors.	3	0.000308483290488432
companies,	3	0.000308483290488432
common	3	0.000308483290488432
college	3	0.000308483290488432
claim	3	0.000308483290488432
certain	3	0.000308483290488432
CEO	3	0.000308483290488432
called	3	0.000308483290488432
businesses	3	0.000308483290488432
business,	3	0.000308483290488432
brilliant	3	0.000308483290488432
book	3	0.000308483290488432
bigger	3	0.000308483290488432
better.	3	0.000308483290488432
bear	3	0.000308483290488432
background,	3	0.000308483290488432
back	3	0.000308483290488432
approach	3	0.000308483290488432
angel	3	0.000308483290488432
An	3	0.000308483290488432
against	3	0.000308483290488432
23	3	0.000308483290488432
10%	3	0.000308483290488432
"I	3	0.000308483290488432
"business"	3	0.000308483290488432
years,	2	0.000205655526992288
year.	2	0.000205655526992288
Yahoo,	2	0.000205655526992288
worse	2	0.000205655526992288
worked.	2	0.000205655526992288
woman	2	0.000205655526992288
within	2	0.000205655526992288
with.	2	0.000205655526992288
win	2	0.000205655526992288
whose	2	0.000205655526992288
whoever	2	0.000205655526992288
Which	2	0.000205655526992288
what.	2	0.000205655526992288
well.	2	0.000205655526992288
weeks	2	0.000205655526992288
Web,	2	0.000205655526992288
way.	2	0.000205655526992288
way,	2	0.000205655526992288
was,	2	0.000205655526992288
want,	2	0.000205655526992288
visit	2	0.000205655526992288
views	2	0.000205655526992288
Venture	2	0.000205655526992288
VCs,	2	0.000205655526992288
usually	2	0.000205655526992288
using	2	0.000205655526992288
us.	2	0.000205655526992288
us,	2	0.000205655526992288
US	2	0.000205655526992288
up.	2	0.000205655526992288
until	2	0.000205655526992288
unless	2	0.000205655526992288
understanding	2	0.000205655526992288
under	2	0.000205655526992288
unbearable	2	0.000205655526992288
truly	2	0.000205655526992288
true.	2	0.000205655526992288
tradition	2	0.000205655526992288
title	2	0.000205655526992288
times	2	0.000205655526992288
thousands	2	0.000205655526992288
thousand	2	0.000205655526992288
though.	2	0.000205655526992288
those.	2	0.000205655526992288
thinking,	2	0.000205655526992288
there,	2	0.000205655526992288
then,	2	0.000205655526992288
themselves	2	0.000205655526992288
Their	2	0.000205655526992288
that,	2	0.000205655526992288
terrifying	2	0.000205655526992288
tens	2	0.000205655526992288
talked	2	0.000205655526992288
systems,	2	0.000205655526992288
sure	2	0.000205655526992288
supposed	2	0.000205655526992288
support	2	0.000205655526992288
supplied	2	0.000205655526992288
suck.	2	0.000205655526992288
successful	2	0.000205655526992288
succeeding,	2	0.000205655526992288
succeed	2	0.000205655526992288
stupid	2	0.000205655526992288
stuffed	2	0.000205655526992288
stuff	2	0.000205655526992288
Street's	2	0.000205655526992288
straightforward	2	0.000205655526992288
store	2	0.000205655526992288
stay	2	0.000205655526992288
startup?	2	0.000205655526992288
stand	2	0.000205655526992288
stage,	2	0.000205655526992288
stage	2	0.000205655526992288
space.	2	0.000205655526992288
space,	2	0.000205655526992288
soon.	2	0.000205655526992288
soon	2	0.000205655526992288
Sometimes	2	0.000205655526992288
solve	2	0.000205655526992288
smarter	2	0.000205655526992288
smaller	2	0.000205655526992288
slightly	2	0.000205655526992288
six	2	0.000205655526992288
sites	2	0.000205655526992288
site	2	0.000205655526992288
simply	2	0.000205655526992288
simple	2	0.000205655526992288
shows.	2	0.000205655526992288
shows	2	0.000205655526992288
seven	2	0.000205655526992288
sense	2	0.000205655526992288
seeming	2	0.000205655526992288
search.	2	0.000205655526992288
school	2	0.000205655526992288
saying	2	0.000205655526992288
say,	2	0.000205655526992288
saw	2	0.000205655526992288
salesman.	2	0.000205655526992288
Robert	2	0.000205655526992288
revenues.	2	0.000205655526992288
revenues,	2	0.000205655526992288
return	2	0.000205655526992288
retrospect	2	0.000205655526992288
rest	2	0.000205655526992288
requires	2	0.000205655526992288
reporters	2	0.000205655526992288
remind	2	0.000205655526992288
reduce	2	0.000205655526992288
read	2	0.000205655526992288
rather	2	0.000205655526992288
rate	2	0.000205655526992288
raising	2	0.000205655526992288
raise	2	0.000205655526992288
proximate	2	0.000205655526992288
protective	2	0.000205655526992288
program	2	0.000205655526992288
process	2	0.000205655526992288
problems.	2	0.000205655526992288
price	2	0.000205655526992288
potential	2	0.000205655526992288
